slot,market,construction,month_from,month_to,adjacent,n,rho,p,p_method,era
cross_market_pair.cn,cn,trading_beta.v0,2025-01,2025-02,True,35,0.6751,2e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-02,2025-03,True,35,0.9255,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-03,2025-04,True,35,0.8627,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-04,2025-05,True,35,0.9401,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-05,2025-06,True,35,0.9451,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-06,2025-07,True,35,0.8263,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-07,2025-08,True,35,0.4952,0.00288,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-08,2025-09,True,35,0.8812,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-09,2025-10,True,35,0.9305,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-10,2025-11,True,35,0.9392,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-11,2025-12,True,35,0.9263,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2025-12,2026-01,True,35,0.8454,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2026-01,2026-02,True,35,0.9255,1e-05,"mc-permutation(n=35,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2026-02,2026-03,True,37,0.857,1e-05,"mc-permutation(n=37,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2026-03,2026-04,True,37,0.8573,1e-05,"mc-permutation(n=37,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2026-04,2026-05,True,37,0.6005,0.0001,"mc-permutation(n=37,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2026-05,2026-06,True,37,0.822,1e-05,"mc-permutation(n=37,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2026-06,2026-07,True,37,0.7617,1e-05,"mc-permutation(n=37,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,trading_beta.v0,2026-07,2026-08,True,37,0.9763,1e-05,"mc-permutation(n=37,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.comment.v0,2026-06,2026-07,True,15,0.8786,6e-05,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.comment.v0,2026-07,2026-08,True,15,0.6899,0.00545,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,attention_share.cn.comment.v0,2026-06,2026-07,True,11,0.4091,0.21476,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,attention_share.cn.comment.v0,2026-07,2026-08,True,11,0.9091,0.00035,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,attention_share.cn.comment.v0,2026-06,2026-07,True,37,0.8133,1e-05,"mc-permutation(n=37,draws=100000,seed=20260811)",reconstruction
cross_market_pair.cn,cn,attention_share.cn.comment.v0,2026-07,2026-08,True,37,0.8787,1e-05,"mc-permutation(n=37,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2024-07,2024-09,False,15,0.6814,0.13477,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2024-09,2024-10,True,15,0.2961,0.33081,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2024-10,2025-07,False,15,0.4847,0.04451,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2025-07,2025-09,False,15,-0.3015,0.51586,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2025-09,2025-10,True,15,0.05,1.0,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2025-10,2025-11,True,15,0.6202,0.06863,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2025-11,2026-03,False,15,-0.0714,1.0,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2026-03,2026-04,True,15,-0.1048,1.0,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2026-04,2026-05,True,15,-0.1048,1.0,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2026-05,2026-06,True,15,0.7319,0.0677,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_mature,cn,attention_share.cn.lhb.v0,2026-06,2026-07,True,15,0.4604,0.13394,"mc-permutation(n=15,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,attention_share.cn.lhb.v0,2024-09,2024-10,True,11,-0.1,1.0,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
cn_young_speculative,cn,attention_share.cn.lhb.v0,2024-10,2024-11,True,11,-0.1491,1.0,"mc-permutation(n=11,draws=100000,seed=20260811)",reconstruction
