sample,year,phase,horizon,asset,return,excess_spy
modern_2013_2025,2023,pre_election,full_year,DEF,-0.01775239549515384,-0.2795103453596993
modern_2013_2025,2023,pre_election,full_year,XLV,0.020665770614948453,-0.24109217924959703
modern_2013_2025,2023,pre_election,full_year,XLP,-0.008182170166377123,-0.2699401200309226
modern_2013_2025,2023,pre_election,full_year,XLU,-0.07174770585903567,-0.33350565572358115
modern_2013_2025,2023,pre_election,full_year,XLK,0.5601837127392593,0.2984257628747138
modern_2013_2025,2023,pre_election,apr_oct,SPY,0.028931082643968598,0.0
modern_2013_2025,2023,pre_election,apr_oct,QQQ,0.09637609642013034,0.06744501377616174
modern_2013_2025,2023,pre_election,apr_oct,DEF,-0.06990839126458925,-0.09883947390855785
modern_2013_2025,2023,pre_election,apr_oct,XLV,-0.030082050629493873,-0.05901313327346247
modern_2013_2025,2023,pre_election,apr_oct,XLP,-0.0790446028414391,-0.1079756854854077
modern_2013_2025,2023,pre_election,apr_oct,XLU,-0.10388990855159641,-0.132820991195565
modern_2013_2025,2023,pre_election,apr_oct,XLK,0.09068682773125714,0.06175574508728854
modern_2013_2025,2023,pre_election,jul_dec,SPY,0.08040171634663351,0.0
modern_2013_2025,2023,pre_election,jul_dec,QQQ,0.11295579670057254,0.03255408035393903
modern_2013_2025,2023,pre_election,jul_dec,DEF,0.0034518875240738822,-0.07694982882255963
modern_2013_2025,2023,pre_election,jul_dec,XLV,0.03633305188236058,-0.04406866446427293
modern_2013_2025,2023,pre_election,jul_dec,XLP,-0.014859061021541553,-0.09526077736817506
modern_2013_2025,2023,pre_election,jul_dec,XLU,-0.015210697478466373,-0.09561241382509988
modern_2013_2025,2023,pre_election,jul_dec,XLK,0.11191014105263863,0.03150842470600512
modern_2013_2025,2023,pre_election,q2,SPY,0.08680378302966174,0.0
modern_2013_2025,2023,pre_election,q2,QQQ,0.15267136787514413,0.06586758484548239
modern_2013_2025,2023,pre_election,q2,DEF,0.0015502407121235073,-0.08525354231753823
modern_2013_2025,2023,pre_election,q2,XLV,0.02947907517827053,-0.05732470785139121
modern_2013_2025,2023,pre_election,q2,XLP,-0.0001850501219889944,-0.08698883315165074
modern_2013_2025,2023,pre_election,q2,XLU,-0.02546371315237217,-0.11226749618203391
